368,508
343,505
475,502
42,497
345,491
72,492
2,482
269,468
79,476
432,477
123,468
459,469
409,468
301,464
99,458
41,465
31,439
78,443
435,442
487,420
57,421
366,418
506,418
412,421
446,416
468,411
129,405
56,395
454,388
502,380
427,376
403,355
429,356
20,357
343,356
318,355
240,353
261,344
218,343
1,338
372,338
403,327
488,326
434,328
50,320
73,322
201,316
390,313
34,301
478,296
260,296
330,291
376,288
280,294
185,286
82,289
476,275
251,273
166,265
393,262
342,264
196,258
300,252
479,251
427,248
90,248
33,250
193,233
171,232
142,241
345,227
318,224
238,223
94,221
387,217
460,211
416,214
185,208
282,205
499,204
387,195
130,201
40,197
164,194
2,188
300,188
191,182
100,186
271,174
151,161
210,169
440,160
497,154
46,157
188,148
171,145
329,148
275,143
105,142
462,138
69,138
361,127
203,128
222,128
15,126
507,118
300,119
395,119
183,111
283,115
339,110
238,109
483,111
315,111
38,106
349,98
76,104
301,89
254,94
443,93
184,85
416,83
89,85
7,86
30,80
470,76
305,72
168,66
327,68
104,62
210,57
496,56
450,45
103,36
182,34
431,33
35,29
342,25
61,30
14,23
485,2
422,10
378,8
168,11
