75,505
148,503
336,502
435,503
505,494
201,497
398,487
16,478
150,475
445,470
66,466
478,463
264,468
153,444
375,442
422,437
324,437
110,432
67,430
489,423
147,418
11,435
33,414
390,409
506,401
260,407
298,412
430,393
364,389
117,391
214,398
178,371
389,367
330,365
9,363
199,354
407,349
281,354
60,360
506,329
373,335
138,339
183,331
37,312
273,315
300,307
71,303
505,289
159,294
115,294
470,267
208,271
488,257
401,272
434,273
240,252
379,246
281,239
411,232
331,236
9,224
203,218
135,221
367,213
493,197
246,204
45,191
165,186
389,179
123,171
231,159
5,155
279,173
214,145
184,159
357,160
488,149
34,141
450,120
321,131
509,125
110,116
149,115
287,106
192,104
457,93
390,116
430,94
508,83
101,87
29,92
430,62
7,69
300,67
463,56
426,47
355,49
34,52
239,54
484,33
348,26
297,31
385,18
9,29
166,37
322,12
60,18
453,10
247,7
