117,508
415,505
104,505
460,498
317,493
82,496
340,493
215,494
478,483
7,490
65,480
436,472
407,467
45,469
23,469
357,463
510,443
275,444
387,437
34,433
434,435
165,429
303,425
277,414
384,406
477,392
390,382
86,378
100,366
185,377
63,366
339,369
223,367
9,359
504,357
247,349
94,346
300,346
480,339
394,335
224,329
153,330
262,327
87,322
417,317
9,318
72,313
464,310
443,309
410,298
371,302
212,301
68,293
89,289
283,299
344,285
421,276
52,276
509,267
162,267
322,271
98,266
179,261
7,265
224,262
207,257
11,247
392,254
167,244
249,241
463,242
121,234
277,235
85,222
243,220
390,217
66,206
129,205
44,202
438,201
280,189
92,189
481,191
163,190
366,189
327,179
253,179
118,177
388,175
273,169
29,173
235,159
88,158
50,158
126,152
11,157
399,152
161,149
417,134
27,129
144,130
218,129
100,129
502,127
253,118
7,116
427,107
121,101
203,92
159,95
300,92
234,87
267,77
509,84
493,87
427,79
264,68
364,69
232,65
164,57
319,66
95,57
193,34
310,33
178,14
448,23
474,15
418,19
151,16
501,24
135,18
388,10
365,12
304,6
270,6
244,4
159,2
28,1
